,flow_rate,voltage,image_classification,ml_classification,nn_classification,generalist_ml_classification
0,5.0,3000.45,dripping (89%),intermitent,dripping,intermitent
1,5.0,3200.33,dripping (95%),intermitent,dripping,intermitent
2,5.0,3400.5,dripping (99%),undefined,dripping,undefined
3,5.0,3600.46,dripping (90%),dripping,dripping,dripping
4,5.0,3800.6,dripping (100%),undefined,dripping,undefined
5,5.0,4000.49,dripping (99%),intermitent,dripping,intermitent
6,5.0,4200.62,dripping (100%),intermitent,dripping,intermitent
7,5.0,4400.45,dripping (97%),dripping,dripping,dripping
8,5.0,4600.67,dripping (88%),cone_jet,intermitent,undefined
9,5.0,4800.53,intermitent (99%),undefined,dripping,undefined
10,5.0,5000.7,dripping (81%),cone_jet,intermitent,undefined
11,5.0,5200.47,intermitent (100%),cone_jet,cone_jet,cone_jet
12,5.0,5400.64,intermitent (97%),intermitent,intermitent,intermitent
13,5.0,5600.47,intermitent (88%),undefined,intermitent,undefined
14,5.0,5800.67,intermitent (95%),cone_jet,intermitent,undefined
15,5.0,6000.52,dripping (95%),undefined,intermitent,undefined
16,5.0,6200.66,cone_jet (99%),cone_jet,multi_jet,cone_jet
17,5.0,6400.38,cone_jet (99%),cone_jet,multi_jet,cone_jet
18,5.0,6600.51,cone_jet (100%),undefined,intermitent,undefined
19,5.0,6800.34,cone_jet (99%),undefined,intermitent,undefined
20,5.0,7000.55,cone_jet (87%),dripping,intermitent,undefined
21,5.0,7200.36,multi_jet (99%),dripping,intermitent,undefined
22,5.0,7400.58,multi_jet (100%),dripping,intermitent,undefined
23,5.0,7600.36,multi_jet (96%),dripping,intermitent,undefined
24,5.0,7800.53,multi_jet (100%),dripping,intermitent,undefined
25,5.0,8000.43,multi_jet (96%),dripping,intermitent,undefined
26,5.0,8200.59,multi_jet (100%),dripping,intermitent,undefined
27,5.0,8400.4,multi_jet (100%),dripping,intermitent,undefined
28,5.0,8600.55,multi_jet (100%),dripping,intermitent,undefined
29,5.0,8800.36,multi_jet (89%),dripping,intermitent,undefined
30,5.0,9000.22,multi_jet (99%),dripping,intermitent,undefined
31,10.0,3000.6,dripping (86%),undefined,dripping,undefined
32,10.0,3200.38,dripping (99%),intermitent,dripping,intermitent
33,10.0,3400.48,dripping (99%),intermitent,intermitent,intermitent
34,10.0,3600.46,dripping (94%),cone_jet,intermitent,undefined
35,10.0,3800.6,dripping (99%),intermitent,intermitent,intermitent
36,10.0,4000.45,dripping (98%),intermitent,intermitent,intermitent
37,10.0,4200.61,dripping (99%),cone_jet,intermitent,undefined
38,10.0,4400.44,dripping (99%),intermitent,intermitent,intermitent
39,10.0,4600.64,dripping (98%),intermitent,dripping,intermitent
40,10.0,4800.52,dripping (60%),cone_jet,intermitent,undefined
41,10.0,5000.69,dripping (65%),intermitent,dripping,intermitent
42,10.0,5200.45,intermitent (99%),cone_jet,cone_jet,cone_jet
43,10.0,5400.63,intermitent (75%),intermitent,intermitent,intermitent
44,10.0,5600.46,dripping (81%),undefined,intermitent,undefined
45,10.0,5800.66,dripping (80%),undefined,intermitent,undefined
46,10.0,6000.48,multi_jet (50%),undefined,intermitent,undefined
47,10.0,6200.65,cone_jet (97%),undefined,intermitent,undefined
48,10.0,6400.39,cone_jet (100%),undefined,intermitent,undefined
49,10.0,6600.53,cone_jet (98%),undefined,intermitent,undefined
50,10.0,6800.34,cone_jet (99%),undefined,intermitent,undefined
51,10.0,7000.53,cone_jet (99%),undefined,intermitent,undefined
52,10.0,7200.35,multi_jet (100%),undefined,intermitent,undefined
53,10.0,7400.54,multi_jet (99%),undefined,intermitent,undefined
54,10.0,7600.37,multi_jet (100%),intermitent,intermitent,undefined
55,10.0,7800.52,multi_jet (100%),undefined,intermitent,undefined
56,10.0,8000.38,multi_jet (100%),dripping,undefined,undefined
57,10.0,8200.59,multi_jet (100%),dripping,none,undefined
58,10.0,8400.41,multi_jet (99%),undefined,intermitent,undefined
59,10.0,8600.54,multi_jet (100%),undefined,intermitent,undefined
60,10.0,8800.38,multi_jet (100%),undefined,intermitent,undefined
61,10.0,9000.23,multi_jet (100%),dripping,none,undefined
62,15.0,3000.57,dripping (94%),undefined,dripping,intermitent
63,15.0,3200.37,dripping (98%),intermitent,intermitent,intermitent
64,15.0,3400.61,dripping (75%),intermitent,dripping,intermitent
65,15.0,3600.47,dripping (100%),undefined,dripping,undefined
66,15.0,3800.61,dripping (97%),intermitent,intermitent,intermitent
67,15.0,4000.46,dripping (100%),intermitent,dripping,intermitent
68,15.0,4200.61,dripping (99%),intermitent,dripping,intermitent
69,15.0,4400.45,dripping (94%),intermitent,dripping,intermitent
70,15.0,4600.67,intermitent (97%),intermitent,intermitent,intermitent
71,15.0,4800.52,dripping (56%),intermitent,intermitent,intermitent
72,15.0,5000.69,intermitent (75%),intermitent,intermitent,intermitent
73,15.0,5200.45,intermitent (96%),undefined,intermitent,undefined
74,15.0,5400.65,intermitent (95%),undefined,intermitent,undefined
75,15.0,5600.46,intermitent (57%),undefined,intermitent,undefined
76,15.0,5800.67,dripping (90%),intermitent,dripping,intermitent
77,15.0,6000.53,intermitent (76%),undefined,intermitent,undefined
78,15.0,6200.68,cone_jet (99%),undefined,intermitent,undefined
79,15.0,6400.41,cone_jet (99%),undefined,intermitent,undefined
80,15.0,6600.51,cone_jet (100%),undefined,intermitent,undefined
81,15.0,6800.35,cone_jet (96%),undefined,intermitent,undefined
82,15.0,7000.54,dripping (56%),undefined,intermitent,undefined
83,15.0,7200.42,multi_jet (99%),undefined,intermitent,undefined
84,15.0,7400.58,multi_jet (90%),undefined,intermitent,undefined
85,15.0,7600.38,multi_jet (100%),undefined,intermitent,undefined
86,15.0,7800.53,multi_jet (100%),dripping,intermitent,undefined
87,15.0,8000.38,multi_jet (100%),dripping,undefined,undefined
88,15.0,8200.6,multi_jet (100%),intermitent,intermitent,intermitent
89,15.0,8400.44,multi_jet (100%),intermitent,intermitent,intermitent
90,15.0,8600.57,multi_jet (100%),intermitent,intermitent,intermitent
91,15.0,8800.39,multi_jet (100%),intermitent,intermitent,undefined
92,15.0,9000.25,multi_jet (100%),intermitent,intermitent,corona
93,6.0,3000.45,multi_jet (100%),intermitent,dripping,intermitent
94,6.0,3200.32,dripping (84%),intermitent,dripping,intermitent
95,6.0,3400.47,dripping (54%),intermitent,intermitent,intermitent
96,6.0,3600.45,dripping (98%),intermitent,dripping,intermitent
97,6.0,3800.61,dripping (97%),cone_jet,intermitent,undefined
