id,timestamp,solution_name,hv_position,target_voltage,actual_voltage,actual_current_ps,flow_rate,mean_na,deviation_na,median_na,rms_na,variance_na,qty_max,pct_max,band_power_v_low,band_power_low,band_power_mid,band_power_high,band_power_v_high,rf_spray_mode,xgb_spray_mode,image_classification,manual_classification,video_file,raw_data_file
1,"2026-04-14T11:32:28,236",experiment,0,3000,3001.15,-6.21336e-08,1,-12.7910747528076,16.1389408111572,-14.8735733032227,20.5931301116943,260.465393066406,0,0,0.586876946194973,13.4739424332598,17.4888413084828,73.1132176312131,36.0723597522761,dripping (83%),dripping (100%),dripping,,,experiment_0_sample_0.npy
2,"2026-04-14T11:32:33,560",experiment,0,3200,3201.18,-6.44898e-08,1,8.20852756500244,16.3177642822266,9.91571617126465,18.2660694122314,266.269409179688,0,0,0.670132530362363,17.1197603066425,18.6610856841818,71.3638410459507,37.385218930395,dripping (86%),dripping (100%),dripping,,,experiment_0_sample_1.npy
3,"2026-04-14T11:32:38,618",experiment,0,3400,3401.06,-6.34426e-08,1,11.6947937011719,16.4889698028564,9.91571617126465,20.2152004241943,271.886108398438,0,0,0.446899775921152,25.2149622320399,20.4691540354116,73.1522884026027,35.64631794755,dripping (90%),dripping (100%),intermitent,,,experiment_0_sample_2.npy
4,"2026-04-14T11:32:43,687",experiment,0,3600,3600.97,-5.40178e-08,1,-25.6809101104736,16.2899990081787,-24.7892913818359,30.4117298126221,265.364074707031,0,0,0.510216501247616,22.2484069108671,16.3296278619029,72.1349393525566,36.0718109269129,intermitent (49%),dripping (77%),intermitent,,,experiment_0_sample_3.npy
5,"2026-04-14T11:32:48,727",experiment,0,3800,3800.97,-5.33197e-08,1,-20.5102634429932,16.1718711853027,-19.8314323425293,26.1189632415771,261.529388427734,0,0,0.756218332097738,18.7332563233259,17.3399168247162,72.5295496180078,35.3123754086347,intermitent (53%),dripping (72%),intermitent,,,experiment_0_sample_4.npy
6,"2026-04-14T11:32:53,788",experiment,0,4000,4001.17,-5.49778e-08,1,44.5769958496094,18.1473197937012,44.6207237243652,48.1293411254883,329.325225830078,0,0,0.697605922768297,15.1375700971242,16.4096295295532,71.6672424773646,36.328421668011,intermitent (71%),intermitent (98%),intermitent,,,experiment_0_sample_5.npy
7,"2026-04-14T11:32:58,850",experiment,0,4200,4201.06,-5.58504e-08,1,52.8546295166016,18.9222087860107,54.5364379882813,56.1396675109863,358.049987792969,0,0,0.827100664905951,23.424569322011,16.1676960610098,74.906157249261,35.5428447542958,intermitent (77%),intermitent (100%),intermitent,,,experiment_0_sample_6.npy
8,"2026-04-14T11:33:03,898",experiment,0,4400,4401.12,-5.6374e-08,1,-22.0382747650146,16.0021572113037,-19.8314323425293,27.2351722717285,256.069030761719,0,0,0.562292535964793,14.8144645167219,17.3276022648844,70.4144928452932,36.9524114178086,intermitent (43%),cone_jet (77%),intermitent,,,experiment_0_sample_7.npy
9,"2026-04-14T11:33:08,929",experiment,0,4600,4601.01,-5.00909e-08,1,47.1390151977539,16.1211795806885,49.5785827636719,49.819465637207,259.892456054688,0,0,0.731676711526249,14.362286213882,17.486890325881,73.7010162622976,36.3825775604307,cone_jet (47%),intermitent (68%),cone_jet,,,experiment_0_sample_8.npy
10,"2026-04-14T11:33:13,990",experiment,0,4800,4800.9,-4.76474e-08,1,32.5095672607422,16.2323112487793,34.705005645752,36.3367576599121,263.487915039063,0,0,0.708657202900456,18.9307086105788,13.962088065423,71.2445202335938,34.8079891236632,cone_jet (55%),cone_jet (70%),undefined,,,experiment_0_sample_9.npy
11,"2026-04-14T11:33:19,087",experiment,0,5000,5001.13,-4.88691e-08,1,-2.61745166778564,16.0183925628662,0,16.2308330535889,256.588928222656,0,0,0.706911579069674,14.4729978947652,14.5132175028855,70.7202162114188,36.4873053448603,cone_jet (31%),multi_jet (81%),undefined,,,experiment_0_sample_10.npy
12,"2026-04-14T11:33:24,146",experiment,0,5200,5201.11,-4.44185e-08,1,48.3626136779785,15.7319850921631,49.5785827636719,50.8570365905762,247.495361328125,0,0,0.534411581440799,10.7848491609497,11.6162345960876,69.4688311217145,35.2845818763897,cone_jet (44%),multi_jet (54%),undefined,,,experiment_0_sample_11.npy
13,"2026-04-14T11:33:29,186",experiment,0,5400,5400.97,-4.93055e-08,1,25.5566673278809,16.2929611206055,24.7892913818359,30.3084774017334,265.460571289063,0,0,0.584027164455437,23.3287307191771,16.3787504204764,73.1666823752885,35.6026123508993,cone_jet (45%),cone_jet (91%),multi_jet,,,experiment_0_sample_12.npy
14,"2026-04-14T11:33:34,248",experiment,0,5600,5600.9,-4.74729e-08,1,8.48021793365479,16.0509281158447,9.91571617126465,18.1534118652344,257.632293701172,0,0,0.6579009512224,13.1729564511494,14.9866986361423,73.576569123096,37.4161733780236,dripping (37%),multi_jet (80%),multi_jet,,,experiment_0_sample_13.npy
15,"2026-04-14T11:33:39,332",experiment,0,5800,5800.93,-4.02297e-08,1,20.2572116851807,16.3537368774414,19.8314323425293,26.0345802307129,267.444732666016,0,0,0.522840036775687,27.554790594288,15.9975668976847,71.140941686015,35.4196502813947,cone_jet (51%),cone_jet (82%),multi_jet,,,experiment_0_sample_14.npy
16,"2026-04-14T11:33:44,384",experiment,0,6000,6001.11,-1.81514e-08,1,43.2009887695313,15.9599905014038,44.6207237243652,46.0548248291016,254.721282958984,0,0,0.756064276641815,16.8747866257186,16.2807251810446,68.4403351366573,36.1940878042468,cone_jet (57%),cone_jet (89%),multi_jet,,,experiment_0_sample_15.npy
17,"2026-04-14T11:33:49,466",experiment,0,6200,6201.05,7.36602e-08,1,30.9295997619629,15.7671251296997,29.7471466064453,34.7165985107422,248.602233886719,0,0,0.842041781501088,12.042972160033,14.6818388297486,66.6815581448228,34.6790976588761,cone_jet (46%),multi_jet (94%),multi_jet,,,experiment_0_sample_16.npy
18,"2026-04-14T11:33:54,507",experiment,0,6400,6400.99,1.06475e-07,1,76.3909759521484,16.1647663116455,74.3678741455078,78.0825271606445,261.299682617188,0,0,0.514525512438011,16.4693499834201,17.1392712603107,70.5778703506032,36.464156267918,cone_jet (66%),cone_jet (76%),multi_jet,,,experiment_0_sample_17.npy
19,"2026-04-14T11:33:59,552",experiment,0,6600,6600.86,2.15569e-07,1,131.936233520508,19.3287563323975,133.862167358398,133.34455871582,373.600799560547,0,0,1.27939662536336,15.8341912847098,17.1515265458096,70.5663006476434,34.6835290226869,multi_jet (72%),multi_jet (99%),multi_jet,,,experiment_0_sample_18.npy
